SapRepA C_4_1_1_1.fq.gz C_4_1_1_2.fq.gz
SapRepB C_4_2_1_1.fq.gz C_4_2_1_2.fq.gz
SapRepC C_4_3_1_1.fq.gz C_4_3_1_2.fq.gz
WesRepA C_4_1_2_1.fq.gz C_4_1_2_2.fq.gz
WesRepB C_4_2_2_1.fq.gz C_4_2_2_2.fq.gz
WesRepC C_4_3_2_1.fq.gz C_4_3_2_2.fq.gz
GarRepA C_4_1_3_1.fq.gz C_4_1_3_2.fq.gz
GarRepB C_4_2_3_1.fq.gz C_4_2_3_2.fq.gz
GarRepC C_4_3_3_1.fq.gz C_4_3_3_2.fq.gz
NX0052RepA C_4_1_4_1.fq.gz C_4_1_4_2.fq.gz
NX0052RepB C_4_2_4_1.fq.gz C_4_2_4_2.fq.gz
NX0052RepC C_4_3_4_1.fq.gz C_4_3_4_2.fq.gz
NX1132RepA C_4_1_5_1.fq.gz C_4_1_5_2.fq.gz
NX1132RepB C_4_2_5_1.fq.gz C_4_2_5_2.fq.gz
NX1132RepC C_4_3_5_1.fq.gz C_4_3_5_2.fq.gz
SxWRepA C_4_1_6_1.fq.gz C_4_1_6_2.fq.gz
SxWRepB C_4_2_6_1.fq.gz C_4_2_6_2.fq.gz
SxWRepC C_4_3_6_1.fq.gz C_4_3_6_2.fq.gz
WxSRepA C_4_1_7_1.fq.gz C_4_1_7_2.fq.gz
WxSRepB C_4_2_7_1.fq.gz C_4_2_7_2.fq.gz
WxSRepC C_4_3_7_1.fq.gz C_4_3_7_2.fq.gz
GxNX0052RepA C_4_1_8_1.fq.gz C_4_1_8_2.fq.gz
GxNX0052RepB C_4_2_8_1.fq.gz C_4_2_8_2.fq.gz
GxNX0052RepC C_4_3_8_1.fq.gz C_4_3_8_2.fq.gz
NX0052xGRepA C_4_1_9_1.fq.gz C_4_1_9_2.fq.gz
NX0052xGRepB C_4_2_9_1.fq.gz C_4_2_9_2.fq.gz
NX0052xGRepC C_4_3_9_1.fq.gz C_4_3_9_2.fq.gz
GxNX1132RepA C_4_1_10_1.fq.gz C_4_1_10_2.fq.gz
GxNX1132RepB C_4_2_10_1.fq.gz C_4_2_10_2.fq.gz
GxNX1132RepC C_4_3_10_1.fq.gz C_4_3_10_2.fq.gz
NX1132xGRepA C_4_1_11_1.fq.gz C_4_1_11_2.fq.gz
NX1132xGRepB C_4_2_11_1.fq.gz C_4_2_11_2.fq.gz
NX1132xGRepC C_4_3_11_1.fq.gz C_4_3_11_2.fq.gz
