SapRepA_R1 C_4_1_1_1.fq.gz
SapRepA_R2 C_4_1_1_2.fq.gz
SapRepB_R1 C_4_2_1_1.fq.gz
tq C_4_2_1_2.fq.gz
SapRepC_R1 C_4_3_1_1.fq.gz
SapRepC_R2 C_4_3_1_2.fq.gz
WesRepA_R1 C_4_1_2_1.fq.gz
WesRepA_R2 C_4_1_2_2.fq.gz
WesRepB_R1 C_4_2_2_1.fq.gz
WesRepB_R2 C_4_2_2_2.fq.gz
WesRepC_R1 C_4_3_2_1.fq.gz
WesRepC_R2 C_4_3_2_2.fq.gz
GarRepA_R1 C_4_1_3_1.fq.gz
GarRepA_R2 C_4_1_3_2.fq.gz
GarRepB_R1 C_4_2_3_1.fq.gz
GarRepB_R2 C_4_2_3_2.fq.gz
GarRepC_R1 C_4_3_3_1.fq.gz
GarRepC_R2 C_4_3_3_2.fq.gz
NX0052RepA_R1 C_4_1_4_1.fq.gz
NX0052RepA_R2 C_4_1_4_2.fq.gz
NX0052RepB_R1 C_4_2_4_1.fq.gz
NX0052RepB_R2 C_4_2_4_2.fq.gz
NX0052RepC_R1 C_4_3_4_1.fq.gz
NX0052RepC_R2 C_4_3_4_2.fq.gz
NX1132RepA_R1 C_4_1_5_1.fq.gz
NX1132RepA_R2 C_4_1_5_2.fq.gz
NX1132RepB_R1 C_4_2_5_1.fq.gz
NX1132RepB_R2 C_4_2_5_2.fq.gz
NX1132RepC_R1 C_4_3_5_1.fq.gz
NX1132RepC_R2 C_4_3_5_2.fq.gz
SxWRepA_R1 C_4_1_6_1.fq.gz
SxWRepA_R2 C_4_1_6_2.fq.gz
SxWRepB_R1 C_4_2_6_1.fq.gz
SxWRepB_R2 C_4_2_6_2.fq.gz
SxWRepC_R1 C_4_3_6_1.fq.gz
SxWRepC_R2 C_4_3_6_2.fq.gz
WxSRepA_R1 C_4_1_7_1.fq.gz
WxSRepA_R2 C_4_1_7_2.fq.gz
WxSRepB_R1 C_4_2_7_1.fq.gz
WxSRepB_R2 C_4_2_7_2.fq.gz
WxSRepC_R1 C_4_3_7_1.fq.gz
WxSRepC_R2 C_4_3_7_2.fq.gz
Gx52RepA_R1 C_4_1_8_1.fq.gz
Gx52RepA_R2 C_4_1_8_2.fq.gz
Gx52RepB_R1 C_4_2_8_1.fq.gz
Gx52RepB_R2 C_4_2_8_2.fq.gz
Gx52RepC_R1 C_4_3_8_1.fq.gz
Gx52RepC_R2 C_4_3_8_2.fq.gz
52xGRepA_R1 C_4_1_9_1.fq.gz
52xGRepA_R2 C_4_1_9_2.fq.gz
52xGRepB_R1 C_4_2_9_1.fq.gz
52xGRepB_R2 C_4_2_9_2.fq.gz
52xGRepC_R1 C_4_3_9_1.fq.gz
52xGRepC_R2 C_4_3_9_2.fq.gz
Gx1132RepA_R1 C_4_1_10_1.fq.gz
Gx1132RepA_R2 C_4_1_10_2.fq.gz
Gx1132RepB_R1 C_4_2_10_1.fq.gz
Gx1132RepB_R2 C_4_2_10_2.fq.gz
Gx1132RepC_R1 C_4_3_10_1.fq.gz
Gx1132RepC_R2 C_4_3_10_2.fq.gz
1132xGRepA_R1 C_4_1_11_1.fq.gz
1132xGRepA_R2 C_4_1_11_2.fq.gz
1132xGRepB_R1 C_4_2_11_1.fq.gz
1132xGRepB_R2 C_4_2_11_2.fq.gz
1132xGRepC_R1 C_4_3_11_1.fq.gz
1132xGRepC_R2 C_4_3_11_2.fq.gz
