Sample_Name,Organism,Genotype,Age,Tissue,Molecule,Replicate,Paired_or_Single_End,PE_ 1_or_2,Approx_total_Number_paired_reads,raw_file 
C_4_1_1_1,Brassica_napus,Sapphire_1,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_1_1.fq.gz
C_4_1_1_2,Brassica_napus,Sapphire_1,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_1_2.fq.gz
C_4_2_1_1,Brassica_napus,Sapphire_1,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_1_1.fq.gz
C_4_2_1_2,Brassica_napus,Sapphire_1,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_1_2.fq.gz
C_4_3_1_1,Brassica_napus,Sapphire_1,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_1_1.fq.gz
C_4_3_1_2,Brassica_napus,Sapphire_1,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_1_2.fq.gz
C_4_1_2_1,Brassica_napus,Westar_10,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_2_1.fq.gz
C_4_1_2_2,Brassica_napus,Westar_10,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_2_2.fq.gz
C_4_2_2_1,Brassica_napus,Westar_10,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_2_1.fq.gz
C_4_2_2_2,Brassica_napus,Westar_10,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_2_2.fq.gz
C_4_3_2_1,Brassica_napus,Westar_10,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_2_1.fq.gz
C_4_3_2_2,Brassica_napus,Westar_10,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_2_2.fq.gz
C_4_1_3_1,Brassica_napus,AV-Garnet,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_3_1.fq.gz
C_4_1_3_2,Brassica_napus,AV-Garnet,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_3_2.fq.gz
C_4_2_3_1,Brassica_napus,AV-Garnet,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_3_1.fq.gz
C_4_2_3_2,Brassica_napus,AV-Garnet,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_3_2.fq.gz
C_4_3_3_1,Brassica_napus,AV-Garnet,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_3_1.fq.gz
C_4_3_3_2,Brassica_napus,AV-Garnet,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_3_2.fq.gz
C_4_1_4_1,Brassica_napus,NX0052,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_4_1.fq.gz
C_4_1_4_2,Brassica_napus,NX0052,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_4_2.fq.gz
C_4_2_4_1,Brassica_napus,NX0052,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_4_1.fq.gz
C_4_2_4_2,Brassica_napus,NX0052,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_4_2.fq.gz
C_4_3_4_1,Brassica_napus,NX0052,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_4_1.fq.gz
C_4_3_4_2,Brassica_napus,NX0052,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_4_2.fq.gz
C_4_1_5_1,Brassica_napus,NX1132,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_5_1.fq.gz
C_4_1_5_2,Brassica_napus,NX1132,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_5_2.fq.gz
C_4_2_5_1,Brassica_napus,NX1132,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_5_1.fq.gz
C_4_2_5_2,Brassica_napus,NX1132,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_5_2.fq.gz
C_4_3_5_1,Brassica_napus,NX1132,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_5_1.fq.gz
C_4_3_5_2,Brassica_napus,NX1132,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_5_2.fq.gz
C_4_1_6_1,Brassica_napus,Sapphire_1_x_Westar_10,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_6_1.fq.gz
C_4_1_6_2,Brassica_napus,Sapphire_1_x_Westar_10,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_6_2.fq.gz
C_4_2_6_1,Brassica_napus,Sapphire_1_x_Westar_10,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_6_1.fq.gz
C_4_2_6_2,Brassica_napus,Sapphire_1_x_Westar_10,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_6_2.fq.gz
C_4_3_6_1,Brassica_napus,Sapphire_1_x_Westar_10,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_6_1.fq.gz
C_4_3_6_2,Brassica_napus,Sapphire_1_x_Westar_10,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_6_2.fq.gz
C_4_1_7_1,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_7_1.fq.gz
C_4_1_7_2,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_7_2.fq.gz
C_4_2_7_1,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_7_1.fq.gz
C_4_2_7_2,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_7_2.fq.gz
C_4_3_7_1,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_7_1.fq.gz
C_4_3_7_2,Brassica_napus,Westar_10_x_Sapphire_1,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_7_2.fq.gz
C_4_1_8_1,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_8_1.fq.gz
C_4_1_8_2,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_8_2.fq.gz
C_4_2_8_1,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_8_1.fq.gz
C_4_2_8_2,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,2,PE,2,20000000,C_4_2_8_2.fq.gz
C_4_3_8_1,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,3,PE,1,20000000,C_4_3_8_1.fq.gz
C_4_3_8_2,Brassica_napus,AV-Garnet_x_NX0052,4_days,Aerial,Total_RNA,3,PE,2,20000000,C_4_3_8_2.fq.gz
C_4_1_9_1,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,1,PE,1,20000000,C_4_1_9_1.fq.gz
C_4_1_9_2,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,1,PE,2,20000000,C_4_1_9_2.fq.gz
C_4_2_9_1,Brassica_napus,NX0052_x_AV-Garnet,4_days,Aerial,Total_RNA,2,PE,1,20000000,C_4_2_9_1.fq.gz
